data,valor_tarifa,ipca_variacao_acumulada_ano_base,ipca_variacao_mensal_acumulada,salario_minimo_real,valor_tarifa_real_ipca,valor_tarifa_real_igpm,ano,mes,dia,tarifa_real_igpm_sobre_salario_percentual,tarifa_real_ipca_sobre_salario_percentual,variacao_percentual_real_igpm,variacao_percentual_real_ipca,variacao_percentual_salario_real,elasticidade_tarifa_real_salario_igpm,elasticidade_tarifa_real_salario_ipca
1999-07-12,1.0,8.94,,666.37,4.83,7.36,1999,7,12,1.104491498716929,0.7248225460329847,,,,,
2001-01-25,1.15,7.67,10.53,673.01,5.0,6.94,2001,1,25,1.0311882438596753,0.742931011426279,-5.706521739130432,3.5196687370600444,0.9964434173207026,-5.726889896542719,3.5322314101125207
2002-05-13,1.35,12.53,9.7,798.44,5.33,7.3,2002,5,13,0.914282851560543,0.6675517258654375,5.187319884726227,6.600000000000006,18.63716735263965,0.2783319904025827,0.3541310691222196
2003-02-25,1.7,9.3,11.87,688.05,5.97,7.25,2003,2,25,1.0537024925514136,0.867669500763026,-0.6849315068493178,12.007504690431503,-13.825710134762803,0.04954042144476571,-0.868490990581404
2004-03-17,1.8,7.6,8.07,763.9,5.83,7.11,2004,3,17,0.9307500981803902,0.7631888990705591,-1.93103448275862,-2.345058626465657,11.023908146210303,-0.1751678676153024,-0.2127247973552664
2005-08-15,1.9,5.69,9.35,886.54,5.61,6.69,2005,8,15,0.7546190809213347,0.6327971665125094,-5.907172995780585,-3.7735849056603765,16.0544573897107,-0.36794597614781377,-0.23504904675749846
2006-04-10,2.0,3.14,3.61,1007.1,5.7,7.0,2006,4,10,0.6950650382285771,0.5659815311289842,4.6337817638266054,1.6042780748663166,13.59893518622961,0.3407459260868314,0.11797085969575186
2007-04-09,2.1,4.46,2.92,1057.06,5.81,7.05,2007,4,9,0.6669441658940836,0.5496376743042022,0.7142857142857117,1.9298245614034926,4.960778472842797,0.14398661786572117,0.38901647633896413
2008-04-01,2.3,5.9,4.63,1090.09,6.07,7.08,2008,4,1,0.649487656982451,0.5568347567632032,0.42553191489362874,4.4750430292599175,3.1247043687207876,0.13618309596047828,1.4321492535602467
2009-03-01,2.3,4.31,5.27,1160.54,5.76,6.61,2009,3,1,0.569562445068675,0.496320678304927,-6.638418079096042,-5.1070840197693705,6.462769129154489,-1.0271785896155838,-0.7902315428119773
2011-02-28,2.5,6.5,9.79,1211.89,5.68,6.51,2011,2,28,0.5371774666017542,0.4686894025035275,-1.5128593040847238,-1.388888888888895,4.424664380374654,-0.3419150412390428,-0.3138970031375108
2012-03-01,2.85,5.84,6.5,1321.14,6.07,7.1,2012,3,1,0.5374146570386181,0.45945168566541017,9.062980030721967,6.866197183098599,9.014844581603931,1.0053395761493507,0.7616545267025511
2013-07-01,2.75,5.91,7.79,1328.63,5.42,6.26,2013,7,1,0.47116202403980034,0.4079390048395716,-11.830985915492953,-10.708401976935756,0.5669346170731338,-20.868342766881657,-18.888248581854345
2013-11-11,2.7,5.91,1.19,1307.86,5.26,5.98,2013,11,11,0.45723548392029734,0.4021837199700274,-4.472843450479225,-2.9520295202952074,-1.5632644152247188,2.8612200258113436,1.8883750512998494
2014-11-12,3.0,6.41,6.4,1313.4,5.48,6.45,2014,11,12,0.4910918227501142,0.41723770366986446,7.859531772575257,4.1825095057034245,0.42359273928402885,18.554453473068754,9.873893289041845
2015-11-19,3.25,10.67,9.51,1288.22,5.4,6.35,2015,11,19,0.49292822654515533,0.41918305879430534,-1.5503875968992276,-1.4598540145985384,-1.9171615654027807,0.808689066627258,0.7614663474081458
2016-12-21,3.55,6.29,7.79,1337.76,5.46,6.38,2016,12,21,0.4769166367659371,0.40814495873699325,0.47244094488190225,1.1111111111111072,3.8456164319758956,0.12285181146866482,0.2889292603059253
2017-12-03,3.7,2.95,2.77,1395.57,5.54,6.7,2017,12,3,0.4800905723109554,0.39697041352279,5.0156739811912265,1.46520146520146,4.321402942231778,1.160658713903891,0.33905689536203265
2018-12-03,3.95,3.75,3.98,1373.72,5.68,6.52,2018,12,3,0.4746236496520397,0.41347581748828,-2.68656716417911,2.5270758122743597,-1.5656685082081068,1.7159233580381976,-1.614055465142219
2019-12-28,4.1,4.31,3.23,1375.43,5.71,6.51,2019,12,28,0.47330652959438135,0.41514290076557875,-0.15337423312883347,0.5281690140845008,0.12447951547622793,-1.2321242779750665,4.243019520632422
2020-01-09,3.95,4.52,1.15,1429.22,5.44,6.15,2020,1,9,0.4303046416926716,0.380627195253355,-5.529953917050678,-4.728546409807343,3.910776993376608,-1.4140294694420954,-1.2091066347725095
2020-01-22,4.1,4.52,,1429.22,5.64,6.38,2020,1,22,0.44639733560963324,0.39462084213766946,3.7398373983739797,3.676470588235281,0.0,,
2020-12-30,4.2,4.52,3.09,1365.81,5.61,5.36,2020,12,30,0.39244111552851424,0.410745272036374,-15.987460815047017,-0.5319148936170137,-4.4366857446719195,3.603469286560715,0.11989014418156572
2022-01-14,4.4,5.79,10.98,1428.4,5.27,4.72,2022,1,14,0.330439652758331,0.3689442733127975,-11.9402985074627,-6.060606060606077,4.582628623307783,-2.605556655133028,-1.322517393135706
2023-02-27,4.65,4.62,6.19,1440.48,5.23,4.72,2023,2,27,0.3276685549261357,0.36307341997112075,0.0,-0.7590132827324347,0.8457014841780852,0.0,-0.8974955074958861
2024-03-13,4.75,4.83,5.25,1501.24,5.07,5.01,2024,3,13,0.3337241213929818,0.33772081745756843,6.144067796610164,-3.0592734225621476,4.218038431633908,1.4566173106749494,-0.7252834397189456
2025-01-23,4.95,,3.48,1564.78,5.11,4.88,2025,1,23,0.3118649266989609,0.3265634785720677,-2.594810379241519,0.7889546351084853,4.232501132397215,-0.6130678523343628,0.18640388045487305
